"Town","FIPS","Year","Measure Type","Variable","Value"
"Norfolk","0900553470","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Norfolk","0900553470","2010-2014","Number","Deaths",-6666
"North Branford","0900953890","2006-2010","AAMR (per 100,000)","Deaths",-6666
"North Branford","0900953890","2006-2010","Crude Rate (per 100,000)","Deaths",8.37
"North Branford","0900953890","2006-2010","Number","Deaths",6
"North Branford","0900953890","2007-2011","AAMR (per 100,000)","Deaths",-6666
"North Branford","0900953890","2007-2011","Crude Rate (per 100,000)","Deaths",4.18
"North Branford","0900953890","2007-2011","Number","Deaths",3
"North Branford","0900953890","2008-2012","AAMR (per 100,000)","Deaths",-6666
"North Branford","0900953890","2008-2012","Crude Rate (per 100,000)","Deaths",8.33
"North Branford","0900953890","2008-2012","Number","Deaths",6
"North Branford","0900953890","2010-2014","AAMR (per 100,000)","Deaths",-6666
"North Branford","0900953890","2010-2014","Crude Rate (per 100,000)","Deaths",13.92
"North Branford","0900953890","2010-2014","Number","Deaths",10
"North Canaan","0900554030","2006-2010","AAMR (per 100,000)","Deaths",-6666
"North Canaan","0900554030","2006-2010","Crude Rate (per 100,000)","Deaths",17.89
"North Canaan","0900554030","2006-2010","Number","Deaths",3
"North Canaan","0900554030","2007-2011","AAMR (per 100,000)","Deaths",-6666
"North Canaan","0900554030","2007-2011","Crude Rate (per 100,000)","Deaths",12.02
"North Canaan","0900554030","2007-2011","Number","Deaths",2
"North Canaan","0900554030","2008-2012","AAMR (per 100,000)","Deaths",-6666
"North Canaan","0900554030","2008-2012","Crude Rate (per 100,000)","Deaths",18.12
"North Canaan","0900554030","2008-2012","Number","Deaths",3
"North Canaan","0900554030","2010-2014","AAMR (per 100,000)","Deaths",-6666
"North Canaan","0900554030","2010-2014","Crude Rate (per 100,000)","Deaths",24.5
"North Canaan","0900554030","2010-2014","Number","Deaths",4
"North Haven","0900954870","2006-2010","AAMR (per 100,000)","Deaths",-6666
"North Haven","0900954870","2006-2010","Crude Rate (per 100,000)","Deaths",5.85
"North Haven","0900954870","2006-2010","Number","Deaths",7
"North Haven","0900954870","2007-2011","AAMR (per 100,000)","Deaths",-6666
"North Haven","0900954870","2007-2011","Crude Rate (per 100,000)","Deaths",6.67
"North Haven","0900954870","2007-2011","Number","Deaths",8
"North Haven","0900954870","2008-2012","AAMR (per 100,000)","Deaths",-6666
"North Haven","0900954870","2008-2012","Crude Rate (per 100,000)","Deaths",8.3
"North Haven","0900954870","2008-2012","Number","Deaths",10
"North Haven","0900954870","2010-2014","AAMR (per 100,000)","Deaths",-6666
"North Haven","0900954870","2010-2014","Crude Rate (per 100,000)","Deaths",11.66
"North Haven","0900954870","2010-2014","Number","Deaths",14
"North Stonington","0901155500","2006-2010","AAMR (per 100,000)","Deaths",-6666
"North Stonington","0901155500","2006-2010","Crude Rate (per 100,000)","Deaths",11.42
"North Stonington","0901155500","2006-2010","Number","Deaths",3
"North Stonington","0901155500","2007-2011","AAMR (per 100,000)","Deaths",-6666
"North Stonington","0901155500","2007-2011","Crude Rate (per 100,000)","Deaths",11.38
"North Stonington","0901155500","2007-2011","Number","Deaths",3
"North Stonington","0901155500","2008-2012","AAMR (per 100,000)","Deaths",-6666
"North Stonington","0901155500","2008-2012","Crude Rate (per 100,000)","Deaths",11.33
"North Stonington","0901155500","2008-2012","Number","Deaths",3
"North Stonington","0901155500","2010-2014","AAMR (per 100,000)","Deaths",-6666
"North Stonington","0901155500","2010-2014","Crude Rate (per 100,000)","Deaths",11.34
"North Stonington","0901155500","2010-2014","Number","Deaths",3
"Norwalk","0900156060","2006-2010","AAMR (per 100,000)","Deaths",6.71
"Norwalk","0900156060","2006-2010","Crude Rate (per 100,000)","Deaths",6.38
"Norwalk","0900156060","2006-2010","Number","Deaths",27
"Norwalk","0900156060","2007-2011","AAMR (per 100,000)","Deaths",6.64
"Norwalk","0900156060","2007-2011","Crude Rate (per 100,000)","Deaths",6.58
"Norwalk","0900156060","2007-2011","Number","Deaths",28
"Norwalk","0900156060","2008-2012","AAMR (per 100,000)","Deaths",5.45
"Norwalk","0900156060","2008-2012","Crude Rate (per 100,000)","Deaths",5.6
"Norwalk","0900156060","2008-2012","Number","Deaths",24
"Norwalk","0900156060","2010-2014","AAMR (per 100,000)","Deaths",6.2
"Norwalk","0900156060","2010-2014","Crude Rate (per 100,000)","Deaths",6.43
"Norwalk","0900156060","2010-2014","Number","Deaths",28
"Norwich","0901156270","2006-2010","AAMR (per 100,000)","Deaths",9.33
"Norwich","0901156270","2006-2010","Crude Rate (per 100,000)","Deaths",10.04
"Norwich","0901156270","2006-2010","Number","Deaths",20
"Norwich","0901156270","2007-2011","AAMR (per 100,000)","Deaths",9.02
"Norwich","0901156270","2007-2011","Crude Rate (per 100,000)","Deaths",9.48
"Norwich","0901156270","2007-2011","Number","Deaths",19
"Norwich","0901156270","2008-2012","AAMR (per 100,000)","Deaths",9.08
"Norwich","0901156270","2008-2012","Crude Rate (per 100,000)","Deaths",9.88
"Norwich","0901156270","2008-2012","Number","Deaths",20
"Norwich","0901156270","2010-2014","AAMR (per 100,000)","Deaths",7.28
"Norwich","0901156270","2010-2014","Crude Rate (per 100,000)","Deaths",7.92
"Norwich","0901156270","2010-2014","Number","Deaths",16
"Old Lyme","0901157040","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Old Lyme","0901157040","2006-2010","Crude Rate (per 100,000)","Deaths",15.81
"Old Lyme","0901157040","2006-2010","Number","Deaths",6
"Old Lyme","0901157040","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Old Lyme","0901157040","2007-2011","Crude Rate (per 100,000)","Deaths",18.46
"Old Lyme","0901157040","2007-2011","Number","Deaths",7
"Old Lyme","0901157040","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Old Lyme","0901157040","2008-2012","Crude Rate (per 100,000)","Deaths",18.41
"Old Lyme","0901157040","2008-2012","Number","Deaths",7
"Old Lyme","0901157040","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Old Lyme","0901157040","2010-2014","Crude Rate (per 100,000)","Deaths",21.08
"Old Lyme","0901157040","2010-2014","Number","Deaths",8
"Old Saybrook","0900757320","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Old Saybrook","0900757320","2006-2010","Crude Rate (per 100,000)","Deaths",13.56
"Old Saybrook","0900757320","2006-2010","Number","Deaths",7
"Old Saybrook","0900757320","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Old Saybrook","0900757320","2007-2011","Crude Rate (per 100,000)","Deaths",11.64
"Old Saybrook","0900757320","2007-2011","Number","Deaths",6
"Old Saybrook","0900757320","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Old Saybrook","0900757320","2008-2012","Crude Rate (per 100,000)","Deaths",17.58
"Old Saybrook","0900757320","2008-2012","Number","Deaths",9
"Old Saybrook","0900757320","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Old Saybrook","0900757320","2010-2014","Crude Rate (per 100,000)","Deaths",13.67
"Old Saybrook","0900757320","2010-2014","Number","Deaths",7
"Orange","0900957600","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Orange","0900957600","2006-2010","Crude Rate (per 100,000)","Deaths",13.01
"Orange","0900957600","2006-2010","Number","Deaths",9
"Orange","0900957600","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Orange","0900957600","2007-2011","Crude Rate (per 100,000)","Deaths",11.52
"Orange","0900957600","2007-2011","Number","Deaths",8
"Orange","0900957600","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Orange","0900957600","2008-2012","Crude Rate (per 100,000)","Deaths",10.03
"Orange","0900957600","2008-2012","Number","Deaths",7
"Orange","0900957600","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Orange","0900957600","2010-2014","Crude Rate (per 100,000)","Deaths",7.17
"Orange","0900957600","2010-2014","Number","Deaths",5
"Oxford","0900958300","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Oxford","0900958300","2006-2010","Crude Rate (per 100,000)","Deaths",13.12
"Oxford","0900958300","2006-2010","Number","Deaths",8
"Oxford","0900958300","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Oxford","0900958300","2007-2011","Crude Rate (per 100,000)","Deaths",11.3
"Oxford","0900958300","2007-2011","Number","Deaths",7
"Oxford","0900958300","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Oxford","0900958300","2008-2012","Crude Rate (per 100,000)","Deaths",12.62
"Oxford","0900958300","2008-2012","Number","Deaths",8
"Oxford","0900958300","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Oxford","0900958300","2010-2014","Crude Rate (per 100,000)","Deaths",6.26
"Oxford","0900958300","2010-2014","Number","Deaths",4
"Plainfield","0901559980","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Plainfield","0901559980","2006-2010","Crude Rate (per 100,000)","Deaths",10.4
"Plainfield","0901559980","2006-2010","Number","Deaths",8
"Plainfield","0901559980","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Plainfield","0901559980","2007-2011","Crude Rate (per 100,000)","Deaths",11.7
"Plainfield","0901559980","2007-2011","Number","Deaths",9
"Plainfield","0901559980","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Plainfield","0901559980","2008-2012","Crude Rate (per 100,000)","Deaths",14.28
"Plainfield","0901559980","2008-2012","Number","Deaths",11
"Plainfield","0901559980","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Plainfield","0901559980","2010-2014","Crude Rate (per 100,000)","Deaths",15.71
"Plainfield","0901559980","2010-2014","Number","Deaths",12
"Plainville","0900360120","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Plainville","0900360120","2006-2010","Crude Rate (per 100,000)","Deaths",11.35
"Plainville","0900360120","2006-2010","Number","Deaths",10
"Plainville","0900360120","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Plainville","0900360120","2007-2011","Crude Rate (per 100,000)","Deaths",14.71
"Plainville","0900360120","2007-2011","Number","Deaths",13
"Plainville","0900360120","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Plainville","0900360120","2008-2012","Crude Rate (per 100,000)","Deaths",14.67
"Plainville","0900360120","2008-2012","Number","Deaths",13
"Plainville","0900360120","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Plainville","0900360120","2010-2014","Crude Rate (per 100,000)","Deaths",12.37
"Plainville","0900360120","2010-2014","Number","Deaths",11
"Plymouth","0900560750","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Plymouth","0900560750","2006-2010","Crude Rate (per 100,000)","Deaths",13.1
"Plymouth","0900560750","2006-2010","Number","Deaths",8
"Plymouth","0900560750","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Plymouth","0900560750","2007-2011","Crude Rate (per 100,000)","Deaths",11.46
"Plymouth","0900560750","2007-2011","Number","Deaths",7
"Plymouth","0900560750","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Plymouth","0900560750","2008-2012","Crude Rate (per 100,000)","Deaths",17.99
"Plymouth","0900560750","2008-2012","Number","Deaths",11
"Plymouth","0900560750","2010-2014","AAMR (per 100,000)","Deaths",30.58
"Plymouth","0900560750","2010-2014","Crude Rate (per 100,000)","Deaths",31.43
"Plymouth","0900560750","2010-2014","Number","Deaths",19
"Pomfret","0901561030","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Pomfret","0901561030","2006-2010","Crude Rate (per 100,000)","Deaths",19.06
"Pomfret","0901561030","2006-2010","Number","Deaths",4
"Pomfret","0901561030","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Pomfret","0901561030","2007-2011","Crude Rate (per 100,000)","Deaths",18.92
"Pomfret","0901561030","2007-2011","Number","Deaths",4
"Pomfret","0901561030","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Pomfret","0901561030","2008-2012","Crude Rate (per 100,000)","Deaths",14.12
"Pomfret","0901561030","2008-2012","Number","Deaths",3
"Pomfret","0901561030","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Pomfret","0901561030","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Pomfret","0901561030","2010-2014","Number","Deaths",-6666
"Portland","0900761800","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Portland","0900761800","2006-2010","Crude Rate (per 100,000)","Deaths",6.37
"Portland","0900761800","2006-2010","Number","Deaths",3
"Portland","0900761800","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Portland","0900761800","2007-2011","Crude Rate (per 100,000)","Deaths",6.34
"Portland","0900761800","2007-2011","Number","Deaths",3
"Portland","0900761800","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Portland","0900761800","2008-2012","Crude Rate (per 100,000)","Deaths",12.62
"Portland","0900761800","2008-2012","Number","Deaths",6
"Portland","0900761800","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Portland","0900761800","2010-2014","Crude Rate (per 100,000)","Deaths",10.54
"Portland","0900761800","2010-2014","Number","Deaths",5
"Preston","0901162150","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Preston","0901162150","2006-2010","Crude Rate (per 100,000)","Deaths",8.47
"Preston","0901162150","2006-2010","Number","Deaths",2
"Preston","0901162150","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Preston","0901162150","2007-2011","Crude Rate (per 100,000)","Deaths",16.92
"Preston","0901162150","2007-2011","Number","Deaths",4
"Preston","0901162150","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Preston","0901162150","2008-2012","Crude Rate (per 100,000)","Deaths",12.7
"Preston","0901162150","2008-2012","Number","Deaths",3
"Preston","0901162150","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Preston","0901162150","2010-2014","Crude Rate (per 100,000)","Deaths",12.66
"Preston","0901162150","2010-2014","Number","Deaths",3
"Prospect","0900962290","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Prospect","0900962290","2006-2010","Crude Rate (per 100,000)","Deaths",10.77
"Prospect","0900962290","2006-2010","Number","Deaths",5
"Prospect","0900962290","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Prospect","0900962290","2007-2011","Crude Rate (per 100,000)","Deaths",15
"Prospect","0900962290","2007-2011","Number","Deaths",7
"Prospect","0900962290","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Prospect","0900962290","2008-2012","Crude Rate (per 100,000)","Deaths",10.63
"Prospect","0900962290","2008-2012","Number","Deaths",5
"Prospect","0900962290","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Prospect","0900962290","2010-2014","Crude Rate (per 100,000)","Deaths",6.27
"Prospect","0900962290","2010-2014","Number","Deaths",3
"Putnam","0901562710","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Putnam","0901562710","2006-2010","Crude Rate (per 100,000)","Deaths",8.36
"Putnam","0901562710","2006-2010","Number","Deaths",4
"Putnam","0901562710","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Putnam","0901562710","2007-2011","Crude Rate (per 100,000)","Deaths",6.28
"Putnam","0901562710","2007-2011","Number","Deaths",3
"Putnam","0901562710","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Putnam","0901562710","2008-2012","Crude Rate (per 100,000)","Deaths",6.26
"Putnam","0901562710","2008-2012","Number","Deaths",3
"Putnam","0901562710","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Putnam","0901562710","2010-2014","Crude Rate (per 100,000)","Deaths",8.42
"Putnam","0901562710","2010-2014","Number","Deaths",4
"Redding","0900163480","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Redding","0900163480","2006-2010","Crude Rate (per 100,000)","Deaths",13.42
"Redding","0900163480","2006-2010","Number","Deaths",6
"Redding","0900163480","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Redding","0900163480","2007-2011","Crude Rate (per 100,000)","Deaths",8.83
"Redding","0900163480","2007-2011","Number","Deaths",4
"Redding","0900163480","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Redding","0900163480","2008-2012","Crude Rate (per 100,000)","Deaths",10.9
"Redding","0900163480","2008-2012","Number","Deaths",5
"Redding","0900163480","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Redding","0900163480","2010-2014","Crude Rate (per 100,000)","Deaths",12.95
"Redding","0900163480","2010-2014","Number","Deaths",6
"Ridgefield","0900163970","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Ridgefield","0900163970","2006-2010","Crude Rate (per 100,000)","Deaths",7.41
"Ridgefield","0900163970","2006-2010","Number","Deaths",9
"Ridgefield","0900163970","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Ridgefield","0900163970","2007-2011","Crude Rate (per 100,000)","Deaths",8.17
"Ridgefield","0900163970","2007-2011","Number","Deaths",10
"Ridgefield","0900163970","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Ridgefield","0900163970","2008-2012","Crude Rate (per 100,000)","Deaths",10.54
"Ridgefield","0900163970","2008-2012","Number","Deaths",13
"Ridgefield","0900163970","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Ridgefield","0900163970","2010-2014","Crude Rate (per 100,000)","Deaths",11.2
"Ridgefield","0900163970","2010-2014","Number","Deaths",14
"Rocky Hill","0900365370","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Rocky Hill","0900365370","2006-2010","Crude Rate (per 100,000)","Deaths",8.24
"Rocky Hill","0900365370","2006-2010","Number","Deaths",8
"Rocky Hill","0900365370","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Rocky Hill","0900365370","2007-2011","Crude Rate (per 100,000)","Deaths",8.19
"Rocky Hill","0900365370","2007-2011","Number","Deaths",8
"Rocky Hill","0900365370","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Rocky Hill","0900365370","2008-2012","Crude Rate (per 100,000)","Deaths",8.12
"Rocky Hill","0900365370","2008-2012","Number","Deaths",8
"Rocky Hill","0900365370","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Rocky Hill","0900365370","2010-2014","Crude Rate (per 100,000)","Deaths",12.1
"Rocky Hill","0900365370","2010-2014","Number","Deaths",12
"Roxbury","0900565930","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Roxbury","0900565930","2006-2010","Crude Rate (per 100,000)","Deaths",8.93
"Roxbury","0900565930","2006-2010","Number","Deaths",1
"Roxbury","0900565930","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Roxbury","0900565930","2007-2011","Crude Rate (per 100,000)","Deaths",8.64
"Roxbury","0900565930","2007-2011","Number","Deaths",1
"Roxbury","0900565930","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Roxbury","0900565930","2008-2012","Crude Rate (per 100,000)","Deaths",8.85
"Roxbury","0900565930","2008-2012","Number","Deaths",1
"Roxbury","0900565930","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Roxbury","0900565930","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Roxbury","0900565930","2010-2014","Number","Deaths",-6666
"Salem","0901166210","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Salem","0901166210","2006-2010","Crude Rate (per 100,000)","Deaths",-6666
"Salem","0901166210","2006-2010","Number","Deaths",-6666
"Salem","0901166210","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Salem","0901166210","2007-2011","Crude Rate (per 100,000)","Deaths",4.86
"Salem","0901166210","2007-2011","Number","Deaths",1
"Salem","0901166210","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Salem","0901166210","2008-2012","Crude Rate (per 100,000)","Deaths",14.45
"Salem","0901166210","2008-2012","Number","Deaths",3
"Salem","0901166210","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Salem","0901166210","2010-2014","Crude Rate (per 100,000)","Deaths",14.38
"Salem","0901166210","2010-2014","Number","Deaths",3
"Salisbury","0900566420","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Salisbury","0900566420","2006-2010","Crude Rate (per 100,000)","Deaths",21
"Salisbury","0900566420","2006-2010","Number","Deaths",4
"Salisbury","0900566420","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Salisbury","0900566420","2007-2011","Crude Rate (per 100,000)","Deaths",21.15
"Salisbury","0900566420","2007-2011","Number","Deaths",4
"Salisbury","0900566420","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Salisbury","0900566420","2008-2012","Crude Rate (per 100,000)","Deaths",21.4
"Salisbury","0900566420","2008-2012","Number","Deaths",4
"Salisbury","0900566420","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Salisbury","0900566420","2010-2014","Crude Rate (per 100,000)","Deaths",27
"Salisbury","0900566420","2010-2014","Number","Deaths",5
"Scotland","0901567400","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Scotland","0901567400","2006-2010","Crude Rate (per 100,000)","Deaths",11.29
"Scotland","0901567400","2006-2010","Number","Deaths",1
"Scotland","0901567400","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Scotland","0901567400","2007-2011","Crude Rate (per 100,000)","Deaths",11.81
"Scotland","0901567400","2007-2011","Number","Deaths",1
"Scotland","0901567400","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Scotland","0901567400","2008-2012","Crude Rate (per 100,000)","Deaths",11.58
"Scotland","0901567400","2008-2012","Number","Deaths",1
"Scotland","0901567400","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Scotland","0901567400","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Scotland","0901567400","2010-2014","Number","Deaths",-6666
"Seymour","0900967610","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Seymour","0900967610","2006-2010","Crude Rate (per 100,000)","Deaths",14.66
"Seymour","0900967610","2006-2010","Number","Deaths",12
"Seymour","0900967610","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Seymour","0900967610","2007-2011","Crude Rate (per 100,000)","Deaths",12.16
"Seymour","0900967610","2007-2011","Number","Deaths",10
"Seymour","0900967610","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Seymour","0900967610","2008-2012","Crude Rate (per 100,000)","Deaths",9.67
"Seymour","0900967610","2008-2012","Number","Deaths",8
"Seymour","0900967610","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Seymour","0900967610","2010-2014","Crude Rate (per 100,000)","Deaths",10.88
"Seymour","0900967610","2010-2014","Number","Deaths",9
"Sharon","0900567960","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Sharon","0900567960","2006-2010","Crude Rate (per 100,000)","Deaths",7.05
"Sharon","0900567960","2006-2010","Number","Deaths",1
"Sharon","0900567960","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Sharon","0900567960","2007-2011","Crude Rate (per 100,000)","Deaths",7.13
"Sharon","0900567960","2007-2011","Number","Deaths",1
"Sharon","0900567960","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Sharon","0900567960","2008-2012","Crude Rate (per 100,000)","Deaths",-6666
"Sharon","0900567960","2008-2012","Number","Deaths",-6666
"Sharon","0900567960","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Sharon","0900567960","2010-2014","Crude Rate (per 100,000)","Deaths",7.26
"Sharon","0900567960","2010-2014","Number","Deaths",1
"Shelton","0900168170","2006-2010","AAMR (per 100,000)","Deaths",9.51
"Shelton","0900168170","2006-2010","Crude Rate (per 100,000)","Deaths",10.24
"Shelton","0900168170","2006-2010","Number","Deaths",20
"Shelton","0900168170","2007-2011","AAMR (per 100,000)","Deaths",8.67
"Shelton","0900168170","2007-2011","Crude Rate (per 100,000)","Deaths",10.18
"Shelton","0900168170","2007-2011","Number","Deaths",20
"Shelton","0900168170","2008-2012","AAMR (per 100,000)","Deaths",7.32
"Shelton","0900168170","2008-2012","Crude Rate (per 100,000)","Deaths",9.08
"Shelton","0900168170","2008-2012","Number","Deaths",18
"Shelton","0900168170","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Shelton","0900168170","2010-2014","Crude Rate (per 100,000)","Deaths",5.94
"Shelton","0900168170","2010-2014","Number","Deaths",12
"Sherman","0900168310","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Sherman","0900168310","2006-2010","Crude Rate (per 100,000)","Deaths",16.65
"Sherman","0900168310","2006-2010","Number","Deaths",3
"Sherman","0900168310","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Sherman","0900168310","2007-2011","Crude Rate (per 100,000)","Deaths",16.68
"Sherman","0900168310","2007-2011","Number","Deaths",3
"Sherman","0900168310","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Sherman","0900168310","2008-2012","Crude Rate (per 100,000)","Deaths",16.73
"Sherman","0900168310","2008-2012","Number","Deaths",3
"Sherman","0900168310","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Sherman","0900168310","2010-2014","Crude Rate (per 100,000)","Deaths",-6666
"Sherman","0900168310","2010-2014","Number","Deaths",-6666
"Simsbury","0900368940","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Simsbury","0900368940","2006-2010","Crude Rate (per 100,000)","Deaths",4.26
"Simsbury","0900368940","2006-2010","Number","Deaths",5
"Simsbury","0900368940","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Simsbury","0900368940","2007-2011","Crude Rate (per 100,000)","Deaths",5.96
"Simsbury","0900368940","2007-2011","Number","Deaths",7
"Simsbury","0900368940","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Simsbury","0900368940","2008-2012","Crude Rate (per 100,000)","Deaths",4.25
"Simsbury","0900368940","2008-2012","Number","Deaths",5
"Simsbury","0900368940","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Simsbury","0900368940","2010-2014","Crude Rate (per 100,000)","Deaths",10.13
"Simsbury","0900368940","2010-2014","Number","Deaths",12
"Somers","0901369220","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Somers","0901369220","2006-2010","Crude Rate (per 100,000)","Deaths",14.06
"Somers","0901369220","2006-2010","Number","Deaths",8
"Somers","0901369220","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Somers","0901369220","2007-2011","Crude Rate (per 100,000)","Deaths",12.3
"Somers","0901369220","2007-2011","Number","Deaths",7
"Somers","0901369220","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Somers","0901369220","2008-2012","Crude Rate (per 100,000)","Deaths",12.23
"Somers","0901369220","2008-2012","Number","Deaths",7
"Somers","0901369220","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Somers","0901369220","2010-2014","Crude Rate (per 100,000)","Deaths",14.05
"Somers","0901369220","2010-2014","Number","Deaths",8
"Southbury","0900969640","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Southbury","0900969640","2006-2010","Crude Rate (per 100,000)","Deaths",10.16
"Southbury","0900969640","2006-2010","Number","Deaths",10
"Southbury","0900969640","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Southbury","0900969640","2007-2011","Crude Rate (per 100,000)","Deaths",10.11
"Southbury","0900969640","2007-2011","Number","Deaths",10
"Southbury","0900969640","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Southbury","0900969640","2008-2012","Crude Rate (per 100,000)","Deaths",8.04
"Southbury","0900969640","2008-2012","Number","Deaths",8
"Southbury","0900969640","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Southbury","0900969640","2010-2014","Crude Rate (per 100,000)","Deaths",14.09
"Southbury","0900969640","2010-2014","Number","Deaths",14
"Southington","0900370550","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Southington","0900370550","2006-2010","Crude Rate (per 100,000)","Deaths",6.59
"Southington","0900370550","2006-2010","Number","Deaths",14
"Southington","0900370550","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Southington","0900370550","2007-2011","Crude Rate (per 100,000)","Deaths",6.08
"Southington","0900370550","2007-2011","Number","Deaths",13
"Southington","0900370550","2008-2012","AAMR (per 100,000)","Deaths",8.36
